ACDC	;	Fly on the wall;	1985;	Atlantic;	1 FIn;;	
Mötörhead	;	Iron Fist	;	1996;	Earmark;	180 g;;	
Pekka Pohjola;	Changing waters;	1992;	SVART;	repress;;	
Jukka Tolonen;	Hysterica	;	1975;	SVART;	repress;;	
Olli Ahvenlahti;	the Poet	;	1976;	SVART;	repress;;	
The Moody Blues;	Days of Future passed;	1967;	DERAM;	2 NED;;	
The Moody Blues;	Long Distance Voyager;	1981;	Threshold;	3 UK;;	
Metallica	;	St. Anger	;	2003;	Vertigo;	1 FIN;;	
Neil Youg 	;	Zuma	;	1975;	Reprise;	2 DEN;;	
Eero Koivistoinen;	Illusion	;	2016;	SVART;	repress;;	
Malady	;	Toinen Toista;	2018;	SVART;	1 FIN;;	
